Feature,Chime,Zoom Video SDK,Daily,Agora,LiveKit,Whereby Embedded,100ms,Vonage Video API,Stream Video,Dyte,Jitsi
Roster,roster (build manually from realtimeSubscribeToAttendeeIdPresence + realtimeSubscribeToVolumeIndicator),participant list (build from user-added/user-removed events; no built-in component),participant list sidebar (built-in Prebuilt),participant management API (list users in channel),"participant list components (useParticipants, useSortedParticipants)",participant list (Pre-built UI; no React Hooks equivalent),selectPeers (sorted by role; HMSPeerListIterator for 2500+ pagination),participantJoined/participantLeft events (build roster UI yourself),"CallParticipantsList component (search, mute status, role actions)",participant.joined/active/waitlisted maps (roster state),participant pane (built-in; with moderator controls)
Current speaker tracking,subscribeToActiveSpeakerDetector(callback) with DefaultActiveSpeakerPolicy,"active-speaker event, stream.getActiveSpeaker()",active speaker (built-in Prebuilt),active speaker detection,room.activeSpeakers / useSpeakingParticipants(),Highlight speaker feature (disabled by default),selectDominantSpeaker / selectSpeakers (sorted by level),activeSpeakerChanged (Video Express); audioLevelUpdated (standard SDK),"useDominantSpeaker() hook, participant.isDominantSpeaker","meeting.participants.on('activeSpeaker', ...) event",Dominant speaker indicator; DISABLE_DOMINANT_SPEAKER_INDICATOR config
Muting,mute (UpdateAttendeeCapabilities to revoke Send/Receive),mute controls,mute participant (setAudio/setVideo via updateParticipant),remote mute (Create Rule: publish_audio/publish_video privileges),mute participant (MuteRoomParticipant API),remote mic/cam off,mute (disable audio/video via role permissions; disableAllAudio/disableAllVideo),mute (signaling; toggle publisher audio or OT.forceMute()),mute-users capability (revoke SEND_AUDIO/SEND_VIDEO),mute participant (disableAudio/disableVideo),mute controls (AV moderation API)
Banning,DeleteAttendee (deletes attendee + JoinToken),expel (ZoomMtg.expel by userId),eject (updateParticipant with eject:true; REST API eject with optional ban flag),"kick / ban (Create Rule: join_channel privilege; kick via time=0, ban via time>0)",removeParticipant (RoomServiceClient; can rejoin unless token revoked),remove participant (host feature; lock room to prevent rejoin),remove peer (hmsActions.removePeer; server-side Remove Peers API),forceDisconnect (session.forceDisconnect),blockUser / kickUser (kick = soft disconnect; block = prevents rejoin),kick (meeting.participants.kick or kickAll),kick (moderation; expel participant)
Breakout rooms,breakout rooms (build as separate meetings; demo app available),subsessions (up to 50),"breakout rooms (beta, Prebuilt only)",breakout rooms (Flexible Classroom; GroupStore API),breakout rooms (provision separate rooms; move/join multiple participants),breakout groups,breakout rooms (role-based; changeRole API),breakout rooms (build via separate sessions + signaling),breakout rooms (on backlog; not yet live),breakout rooms (UI Kit: DyteBreakoutRoom),breakout rooms (addBreakoutRoom / joinBreakoutRoom API)
Chat,"Data Messages (2KB, 100msg/s) or Chime SDK Messaging (separate service)",chat client (in-session chat client API),realtime chat messaging (Prebuilt),"Separate Chat SDK (1:1, group, file sharing, emoji, typing indicators)","chat via DataTopic (1:1 via destinationIdentities, file sharing via byte streams)","chat: group only, file sharing (15MB), no 1:1 private","chat: 1:1 private, group by role, broadcast; no file sharing","Signaling API only (8KB max, ephemeral, no built-in UI)","Native Stream Chat integration (threads, reactions, file sharing, 1:1, group)","chat: 1:1 private, group, file/image sharing, pinning, editing","chat: group, 1:1 private, file sharing, GIF, emoji reactions"
Polls,,,,polls (Flexible Classroom only; not in core SDK),,,polls & quiz (built-in; create/start/stop/vote/results),,,"polls (built-in; meeting.polls.create(), UI Kit components)",polls (built-in; react/features/polls/)
Whiteboard,,whiteboard client (whiteboard client API),,Interactive Whiteboard SDK (standalone product),,,whiteboard (built-in Beta; tldraw 2.0-powered via 100ms signaling),,whiteboard (on backlog),whiteboard (built-in plugin; tldraw-based),whiteboard (built-in; react/features/whiteboard/)
Transcription,live transcription (Amazon Transcribe integration; PII redaction),live transcription & translation (LTT client),"transcription (real-time, Deepgram, S3 storage)",speech to text (real-time; separate STT service),"transcription (via Agents framework; multi-provider: Deepgram, AssemblyAI, etc.)",session transcriptions & live captions,post-call transcription & summary; live transcription (HLS),live captions + post-call transcription (Audio Connector),transcriptions & closed captions (multi-language),"meeting transcription (real-time, Google STT; REST API + webhooks)",transcription (via Jigasi; WebVTT format)
Captions / closed captions,live transcription events (transcribeEvent per client),live transcription & translation (caption mode),transcription messages (live captions in Prebuilt),speech to text (live captions; separate STT service),transcription (via Agents; live captions),live captions (Pre-built UI),live transcription for closed captions (HLS),live captions (dedicated Live Captions API),closed captions (WebSocket events; customisable segments),"CC audio transcripts (real-time, partial + final segments)",captions/subtitle events (transcriptionChunkReceived)
Translated captions,Amazon Translate integration (demo/workshop available),live translation (built-in; setTranslationLanguage; multi-language),,real-time translation (separate STT + translation services),,,,,multi-language transcriptions (configurable per call type),,
Device compatibility checks,DefaultMeetingReadinessChecker (audio/video/connectivity checks),"audio & video preview; getMicList(), getSpeakerList()","Prebuilt prejoin UI; testNetworkConnectivity(), testCallQuality(), supportedBrowser()","pre-join device test; checkSystemRequirements(), device enumeration","PreJoin component (camera/mic preview, device selection)",device and connectivity test (Pre-built UI only; not in React Hooks),"preview screen; Diagnostics SDK (startMicCheck(), startConnectivityCheck())","OT.checkScreenSharingCapability(), NetworkTest module, PreviewPublisher","Connection Test page, Lobby Preview / Video Preview components","Media Preview (device enumeration, selection, audio/video track preview)",prejoin page (prejoinConfig.enabled; react/features/prejoin/)
Waiting room / lobby,,,knocking/lobby (enable_knocking; owner admits via updateWaitingParticipant()),,,waiting room (isLocked: true; host lets in/rejects/ messages guests),implementable via custom role config (no publish permissions + changeRole),,backstage mode (livestream only); general waiting room on backlog,waiting room (waiting_room parameter; states: joined/waitlisted/rejected),lobby (react/features/lobby/; wait for moderator)
Raised hand,,,hand_raising flag (Prebuilt; default false),hand raise (Flexible Classroom only; not in core SDK),,raised hand (host 'Ask to speak'; Pre-built UI only),hand raise (raiseLocalPeerHand()),,built-in (call.sendReaction({type: 'raised-hand'})),,hand raise (built-in; react/features/reactions/)
Reactions,,,emoji_reactions flag (Prebuilt; default false),emoji (Chat SDK addReaction),,,emoji reactions (Prebuilt component; sendBroadcastMessage),,built-in (call.sendReaction(); ReactionsButton component),emoji reactions (DyteEmojiPicker),reactions (built-in; react/features/reactions/)
